DrugID,DrugName,ActiveIngredient,DrugClass,Manufacturer,ApprovalYear,Indication,MechanismOfAction,Target,InteractsDrugID,InteractionType,InteractionSeverity,Contraindication,SideEffect,ClinicalTrialID,TrialPhase,EfficacyRate,PatentExpiry
D001,Aspirin,Acetylsalicylic acid,NSAID,Bayer,1897,Pain|Fever|Inflammation,COX enzyme inhibition,COX-1|COX-2,D002|D015,Pharmacodynamic|Pharmacokinetic,Moderate|Mild,Active peptic ulcer|Hemophilia,GI bleeding|Tinnitus,NCT00000001,4,78,Expired
D002,Warfarin,Warfarin sodium,Anticoagulant,Bristol-Myers Squibb,1954,Atrial fibrillation|Deep vein thrombosis|Stroke prevention,Vitamin K antagonism,VKORC1,D001|D003|D008,Pharmacokinetic|Pharmacodynamic,Major|Major|Moderate,Active bleeding|Pregnancy,Bleeding|Bruising,NCT00000002,4,82,Expired
D003,Metformin,Metformin hydrochloride,Biguanide,Various (generic),1957,Type 2 Diabetes,AMP-kinase activation,AMPK|Complex I,D004|D009,Pharmacokinetic|Pharmacodynamic,Moderate|Mild,Renal impairment|Hepatic impairment,GI upset|Lactic acidosis,NCT00000003,4,75,Expired
D004,Atorvastatin,Atorvastatin calcium,HMG-CoA reductase inhibitor,Pfizer,1996,Hypercholesterolemia|Cardiovascular risk reduction,HMG-CoA reductase inhibition,HMGCR,D005|D003,Pharmacokinetic|Pharmacokinetic,Moderate|Mild,Active liver disease,Myopathy|Rhabdomyolysis,NCT00000004,4,89,2011
D005,Lisinopril,Lisinopril,ACE inhibitor,AstraZeneca,1987,Hypertension|Heart failure|Diabetic nephropathy,ACE inhibition,ACE,D004|D006|D010,Pharmacodynamic|Pharmacokinetic|Pharmacodynamic,Moderate|Mild|Major,Pregnancy|Bilateral renal artery stenosis,Cough|Hyperkalemia|Angioedema,NCT00000005,4,86,Expired
D006,Amoxicillin,Amoxicillin trihydrate,Penicillin antibiotic,GlaxoSmithKline,1972,Bacterial infections,Beta-lactam cell wall synthesis inhibition,PBP1|PBP2,D007|D002,Pharmacodynamic|Pharmacokinetic,Moderate|Moderate,Penicillin allergy,Diarrhea|Rash,NCT00000006,4,92,Expired
D007,Fluconazole,Fluconazole,Azole antifungal,Pfizer,1988,Fungal infections|Candidiasis|Cryptococcal meningitis,CYP51 inhibition,ERG11,D002|D006|D008,Pharmacokinetic|Pharmacodynamic|Pharmacokinetic,Major|Moderate|Major,Pregnancy (first trimester),Hepatotoxicity|QT prolongation,NCT00000007,4,88,Expired
D008,Omeprazole,Omeprazole,Proton pump inhibitor,AstraZeneca,1988,GERD|Peptic ulcer|H. pylori,H+/K+ ATPase inhibition,ATP4A,D002|D003|D007,Pharmacokinetic|Pharmacokinetic|Pharmacokinetic,Major|Moderate|Moderate,Hypersensitivity to PPIs,Headache|Diarrhea|C. diff risk,NCT00000008,4,85,2001
D009,Metoprolol,Metoprolol succinate,Beta-1 selective blocker,AstraZeneca,1978,Hypertension|Angina|Heart failure|Arrhythmia,Beta-1 adrenoceptor blockade,ADRB1,D003|D005|D010,Pharmacodynamic|Pharmacodynamic|Pharmacodynamic,Moderate|Moderate|Major,Severe bradycardia|Cardiogenic shock,Bradycardia|Fatigue|Cold extremities,NCT00000009,4,84,Expired
D010,Amlodipine,Amlodipine besylate,Calcium channel blocker,Pfizer,1990,Hypertension|Angina,L-type calcium channel blockade,CACNA1C,D005|D009|D011,Pharmacodynamic|Pharmacodynamic|Pharmacokinetic,Moderate|Moderate|Mild,Cardiogenic shock,Edema|Flushing|Headache,NCT00000010,4,87,2007
D011,Sertraline,Sertraline hydrochloride,SSRI,Pfizer,1991,Depression|OCD|PTSD|Panic disorder,Serotonin reuptake inhibition,SLC6A4,D012|D010|D013,Pharmacodynamic|Pharmacokinetic|Pharmacodynamic,Major|Mild|Major,MAO inhibitor use,Nausea|Insomnia|Sexual dysfunction,NCT00000011,4,68,2006
D012,Quetiapine,Quetiapine fumarate,Atypical antipsychotic,AstraZeneca,1997,Schizophrenia|Bipolar disorder|Depression,Dopamine D2 and serotonin 5-HT2A antagonism,DRD2|HTR2A,D011|D013|D014,Pharmacodynamic|Pharmacokinetic|Pharmacodynamic,Major|Moderate|Moderate,Dementia-related psychosis,Weight gain|Sedation|Metabolic syndrome,NCT00000012,4,65,2012
D013,Alprazolam,Alprazolam,Benzodiazepine,Pfizer,1981,Anxiety|Panic disorder,GABA-A receptor positive allosteric modulation,GABRA1,D011|D012|D014,Pharmacodynamic|Pharmacokinetic|Pharmacodynamic,Major|Major|Major,Severe respiratory insufficiency|Pregnancy,Sedation|Dependence|Cognitive impairment,NCT00000013,4,72,Expired
D014,Tramadol,Tramadol hydrochloride,Opioid analgesic,Grünenthal,1977,Moderate-severe pain,Mu-opioid receptor agonism|Norepinephrine-serotonin reuptake inhibition,OPRM1|SLC6A4|SLC6A2,D011|D013|D002,Pharmacodynamic|Pharmacodynamic|Pharmacokinetic,Major|Major|Moderate,MAO inhibitor use|Seizure disorder,Nausea|Dizziness|Serotonin syndrome,NCT00000014,4,73,Expired
D015,Clopidogrel,Clopidogrel bisulfate,Antiplatelet,Sanofi,1997,Acute coronary syndrome|Stroke|Peripheral arterial disease,ADP receptor P2Y12 blockade,P2RY12,D001|D002|D008,Pharmacodynamic|Pharmacodynamic|Pharmacokinetic,Moderate|Major|Moderate,Active pathological bleeding,Bleeding|TTP,NCT00000015,4,81,2012
D016,Pembrolizumab,Pembrolizumab,PD-1 inhibitor checkpoint immunotherapy,Merck,2014,Melanoma|NSCLC|HNSCC|MSI-H cancer,PD-1 blockade restoring anti-tumor T-cell immunity,PDCD1,D017|D018,Pharmacodynamic|Pharmacodynamic,Moderate|Moderate,Autoimmune disease,Immune-mediated pneumonitis|Colitis|Hepatitis,NCT02142738,4,45,2033
D017,Nivolumab,Nivolumab,PD-1 inhibitor checkpoint immunotherapy,Bristol-Myers Squibb,2014,Melanoma|Lung cancer|Renal cell carcinoma,PD-1 blockade,PDCD1,D016|D018|D019,Pharmacodynamic|Pharmacodynamic|Pharmacokinetic,Moderate|Moderate|Mild,Active autoimmune disease,Fatigue|Rash|Immune-mediated adverse effects,NCT01642771,4,40,2030
D018,Ipilimumab,Ipilimumab,CTLA-4 inhibitor,Bristol-Myers Squibb,2011,Melanoma|RCC|NSCLC,CTLA-4 blockade enhancing T-cell activation,CTLA4,D016|D017,Pharmacodynamic|Pharmacodynamic,Major|Major,Active severe autoimmune disease,Immune-mediated colitis|Hepatitis|Hypophysitis,NCT00094653,4,20,2028
D019,Trastuzumab,Trastuzumab,HER2-targeted monoclonal antibody,Roche/Genentech,1998,HER2+ breast cancer|Gastric cancer,HER2 receptor blockade inducing ADCC,ERBB2,D017|D020,Pharmacodynamic|Pharmacokinetic,Moderate|Moderate,Pregnancy,Cardiotoxicity|Infusion reactions,NCT00006676,4,50,2019
D020,Imatinib,Imatinib mesylate,BCR-ABL tyrosine kinase inhibitor,Novartis,2001,CML|GIST,BCR-ABL1 kinase inhibition,ABL1|KIT|PDGFRA,D019|D008,Pharmacokinetic|Pharmacokinetic,Moderate|Moderate,Pregnancy,Edema|Nausea|Myelosuppression,NCT00006343,4,92,2015
