ScientificConcept,Domain,Discoverer,DiscoveryYear,RelatedConcept,Impact
General Relativity,Physics,Albert Einstein,1915,Gravity,Cosmology
Special Relativity,Physics,Albert Einstein,1905,Speed of Light,Time Dilation
Quantum Mechanics,Physics,Max Planck,1900,Wave-Particle Duality,Modern Electronics
Evolution,Biology,Charles Darwin,1859,Natural Selection,Modern Biology
Penicillin,Medicine,Alexander Fleming,1928,Antibiotics,Infection Control
DNA Structure,Genetics,James Watson,1953,Genes,Genomics
Radioactivity,Physics,Marie Curie,1898,Nuclear Energy,Cancer Treatment
CRISPR,Genetics,Jennifer Doudna,2012,Gene Editing,Medicine
CRISPR,Genetics,Emmanuelle Charpentier,2012,Gene Editing,Medicine
Periodic Table,Chemistry,Dmitri Mendeleev,1869,Elements,Chemical Engineering
Electromagnetism,Physics,James Clerk Maxwell,1865,Light,Telecommunications
Thermodynamics,Physics,Lord Kelvin,1848,Energy,Engines
