SongTitle,Artist,Album,Year,Genre
Bohemian Rhapsody,Queen,A Night at the Opera,1975,Rock
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,1971,Rock
Billie Jean,Michael Jackson,Thriller,1982,Pop
Like a Prayer,Madonna,Like a Prayer,1989,Pop
Smells Like Teen Spirit,Nirvana,Nevermind,1991,Grunge
Hotel California,Eagles,Hotel California,1976,Rock
Imagine,John Lennon,Imagine,1971,Pop
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,1987,Rock
Rolling in the Deep,Adele,21,2011,Soul
Levitating,Dua Lipa,Future Nostalgia,2020,Pop
